id,name,is_land,is_sea,good,dist_to_iron,dist_to_coal,paired_score,status,owner_tag,start_pop,total_life_rating
1,Sitka,True,False,timber,3,3,3,PASS,JAP,,35
2,Yakutat,True,False,fish,3,3,3,PASS,JAP,,20
3,Kenai,True,False,fish,5,1,5,PASS,JAP,,20
4,Dutch Harbor,True,False,fish,6,1,6,WARN,JAP,,20
5,Unalakleet,True,False,coal,6,0,6,WARN,JAP,,20
6,Whitehorse,True,False,timber,3,3,3,PASS,JAP,,10
7,Dawson,True,False,fish,3,3,3,PASS,JAP,,10
8,Ross River,True,False,iron,0,1,1,PASS,VEN,,35
9,Fort Simpson,True,False,timber,3,3,3,PASS,,,15
10,Inuvik,True,False,timber,1,1,1,PASS,ARA,,35
11,Echo Bay,True,False,fish,2,3,3,PASS,,,15
12,Reliance,True,False,precious_metal,3,4,4,PASS,JAP,,30
13,Vancouver,True,False,fish,1,1,1,PASS,DNG,,35
14,Vancouver Island,True,False,coal,2,0,2,PASS,DNG,,31
15,Prince Rupert,True,False,fish,2,2,2,PASS,DNG,,20
16,Glenora,True,False,timber,1,2,2,PASS,DNG,,20
17,Atlin,True,False,timber,2,3,3,PASS,,,20
18,Fort Saint John,True,False,timber,1,2,2,PASS,,,25
19,Prince George,True,False,iron,0,2,2,PASS,DNG,,20
20,Kelowna,True,False,grain,1,2,2,PASS,DNG,,30
21,Vernon,True,False,iron,0,1,1,PASS,DNG,,31
22,Edmonton,True,False,grain,1,1,1,PASS,,,30
23,Athabaska Landing,True,False,timber,1,2,2,PASS,HHR,,15
24,Jasper,True,False,timber,1,1,1,PASS,,,30
25,Banff,True,False,coal,1,0,1,PASS,,,30
26,Calgary,True,False,timber,1,1,1,PASS,,,30
27,Denwood,True,False,iron,0,2,2,PASS,HHR,,35
28,Fort MacLeod,True,False,iron,0,1,1,PASS,,,30
29,Medicine Hat,True,False,fruit,4,1,4,PASS,CHG,,15
30,Regina,True,False,grain,2,1,2,PASS,HHR,,30
